customer_id,customer_segment,amount,failure_reason,payment_channel,days_since_failure,event_date,total_past_payments,total_past_failures,past_self_cure_count,past_recovery_attempts,past_whatsapp_success,past_whatsapp_attempts,past_email_success,past_email_attempts,past_call_success,past_call_attempts,past_opt_outs,intervention_used,contacted,recovered,amount_recovered,recovery_time_hours,churn_or_annoyance_flag
90,regular,2424.93,insufficient_funds,upi,0.5,2025-08-13,8,9,5,5,0,1,2,5,2,3,0,discount,True,False,0.0,,False
127,regular,7113.28,card_declined,wallet,1.0,2025-09-03,13,7,6,2,3,5,1,4,2,3,0,human_followup,True,False,0.0,,False
58,high_value,12319.54,insufficient_funds,upi,2.9,2025-06-13,19,9,4,7,1,3,1,6,3,3,0,whatsapp,True,True,12319.54,42.6,False
42,new,2222.76,bank_server_down,upi,3.4,2025-11-11,25,9,5,4,1,1,0,0,1,1,0,none,False,False,0.0,,False
111,regular,7568.32,timeout,wallet,1.6,2025-02-21,46,3,4,2,1,1,1,3,0,2,0,whatsapp,True,False,0.0,,False
142,new,2193.91,bank_server_down,netbanking,6.6,2025-06-02,63,7,4,5,2,6,2,2,0,0,0,whatsapp,True,True,2193.91,40.3,False
40,new,258.06,insufficient_funds,wallet,0.9,2026-02-26,28,12,5,9,0,0,0,2,1,6,2,discount,True,False,0.0,,True
7,regular,2052.15,card_declined,upi,4.7,2025-03-01,19,12,4,10,2,2,2,5,2,6,0,whatsapp,True,True,2052.15,31.8,False
24,regular,5314.0,network_error,card,3.7,2025-07-15,91,13,8,8,1,5,0,2,3,4,2,whatsapp,True,False,0.0,,True
120,regular,2475.51,card_declined,upi,1.5,2025-12-23,76,6,2,4,0,4,2,3,1,3,0,discount,True,True,2475.51,26.0,False
151,regular,2206.35,insufficient_funds,wallet,8.2,2025-08-03,94,9,6,4,5,6,0,1,0,2,0,none,False,False,0.0,,False
122,new,1760.87,timeout,wallet,3.0,2025-07-22,11,5,1,5,0,2,0,0,3,6,0,none,False,False,0.0,,False
129,new,1756.54,bank_server_down,card,1.2,2026-01-23,63,3,5,1,2,4,0,0,1,5,0,email,True,False,0.0,,False
55,new,2444.54,timeout,upi,4.2,2025-12-16,18,6,6,3,0,1,0,2,1,2,0,email,True,False,0.0,,False
153,regular,2434.15,insufficient_funds,upi,3.9,2025-07-23,68,6,4,3,2,2,1,4,2,5,0,email,True,False,0.0,,False
4,regular,6399.13,bank_server_down,wallet,1.1,2025-03-18,25,13,5,9,2,3,3,4,4,6,0,whatsapp,True,True,6399.13,45.1,False
28,high_value,30320.77,insufficient_funds,netbanking,8.7,2026-03-27,71,5,3,4,2,3,2,2,3,4,0,whatsapp,True,True,30320.77,23.4,False
156,regular,4047.85,timeout,netbanking,4.0,2025-11-13,20,0,2,0,3,6,1,2,1,3,0,voice,True,False,0.0,,True
85,new,2102.49,insufficient_funds,wallet,9.2,2026-04-05,54,8,0,8,4,6,1,2,0,0,0,whatsapp,True,True,2102.49,15.0,False
126,regular,6936.76,insufficient_funds,card,1.3,2026-05-14,97,8,2,7,0,4,0,0,1,4,2,human_followup,True,False,0.0,,True
107,new,1854.44,insufficient_funds,card,4.4,2026-04-13,73,11,2,10,0,2,0,1,0,5,2,none,False,False,0.0,,False
133,regular,7003.92,insufficient_funds,card,0.7,2025-12-30,24,12,2,12,0,3,1,2,1,2,1,email,True,True,7003.92,42.2,False
8,high_value,12818.18,timeout,upi,2.5,2025-08-22,44,9,2,9,1,1,2,4,0,6,1,retry,True,False,0.0,,False
51,high_value,17328.99,network_error,wallet,6.4,2025-03-05,48,4,5,1,0,4,4,6,1,4,0,discount,True,True,17328.99,21.5,False
122,new,1801.95,card_declined,netbanking,1.6,2026-04-03,11,5,1,5,0,2,0,0,3,6,0,whatsapp,True,False,0.0,,False
8,high_value,22395.46,timeout,card,8.6,2025-11-28,44,9,2,9,1,1,2,4,0,6,1,whatsapp,True,True,22395.46,24.7,False
175,high_value,5400.41,timeout,card,6.0,2025-01-05,79,3,5,0,0,1,0,0,1,1,0,whatsapp,True,False,0.0,,False
165,new,898.6,network_error,netbanking,4.6,2025-04-22,13,12,3,12,1,3,0,0,1,4,0,email,True,False,0.0,,False
102,regular,4883.65,insufficient_funds,netbanking,5.6,2025-11-01,83,10,3,9,1,2,4,5,1,4,0,voice,True,True,4883.65,3.2,True
71,new,1957.72,card_declined,netbanking,6.6,2026-05-03,41,8,3,5,5,5,2,4,4,6,0,none,False,False,0.0,,False
39,new,1600.15,timeout,upi,8.1,2026-02-15,17,9,7,4,5,6,0,0,1,4,0,none,False,True,1600.15,23.7,False
36,new,2191.72,network_error,netbanking,2.6,2025-08-03,48,6,6,3,0,0,2,3,2,6,0,email,True,False,0.0,,False
147,regular,6620.11,card_declined,card,6.9,2025-11-23,45,9,2,8,2,6,2,4,1,6,2,human_followup,True,False,0.0,,True
